Paper,Question_Number,Question_Text,Option_A,Option_B,Option_C,Option_D,Subject,Raw_Options_Text
Ahmednagar_Police_Paper,२,प्रश्नपत्रिकेत ९०० प्रश्‍न आहेत. सर्व प्रश्‍न बहुपर्यायी स्त्रुपाचे असून बरोबर उत्तरास १ गुण देण्यात येईल.,,,,,,
Ahmednagar_Police_Paper,३,"प्रश्‍नाचे उत्तर 3,७,(7,1) या पर्यायाधधून योग्य पर्याय निवडून फक्त एका पर्यायाचा गोल काळया शाईच्या",उत्तरपत्रिकेत स्पष्ट व पूर्ण रंगवाबा.,ब उत्तर लिहिल्यास परत खोडून दुसरे उत्तर लिहिल्यास संगणक ते तपासणार नाही त्यामुळे दुसऱ्यांदा उत्तर म्ये.,,,,उत्तरपत्रिकेत स्पष्ट व पूर्ण रंगवाबा. 3] ब उत्तर लिहिल्यास परत खोडून दुसरे उत्तर लिहिल्यास संगणक ते तपासणार नाही त्यामुळे दुसऱ्यांदा उत्तर म्ये.
Ahmednagar_Police_Paper,५,"प्रेश्‍नपत्रिकेवर/उत्तरपत्निकेवर कसल्याही खाणाखुणा करु नये, प्रश्‍नपत्रिकेत शेवटप्या पानावर कच्ये काम करावे.",,,,,,
Ahmednagar_Police_Paper,६,"परीक्षेमध्ये ('/)1.(:01. १101310911, : व इतर कोणत्याही ६1, ८€:11२0१41८€ साधनांचा वापर निषिध्द आहे.",परोक्षेत कोणताही उमेदेवार एकमेकांशी बोलणार नाही.,,,,,'७) परोक्षेत कोणताही उमेदेवार एकमेकांशी बोलणार नाही.
Ahmednagar_Police_Paper,८,नियमांचे व सुचनांचे पालन न केल्यास उमेदवारांना लेख: परीक्षेतून वाहेर काढण्यात येईल व अपात्र ठरविण्यात येईल.,,,,,,
Ahmednagar_Police_Paper,९,एका प्रश्‍नप्रत्रिकेत एकूण ०९ पाने प्रश्‍नांकरीता असुन १ पान कच्चे कामकाजाकरीता आहे.,,,,,,
Ahmednagar_Police_Paper,1,दान भावांच्या आजच्या वयात सात व त्यांच्या वयात कित,अंतर असेल?,,,,,अंतर असेल?
Ahmednagar_Police_Paper,5,आठ वर्ष 9) स्शत वर्ष ९) दहा वर्ष 0७)सहा वर्ष,,,,,,
Ahmednagar_Police_Paper,2,"1331 , 2197 , 3375, 4913, ?",4*.)6639,6539,6859,6759,,4*.)6639 8) 6539 2) 6859 10) 6759
Ahmednagar_Police_Paper,3,खालीलपैकी सर्वात लहान अपूर्णांक कोणता ?,श्‌ 13 नि.,:,13,"1797 [१ एका आयताचे क्षेत्रफळ 0.0288 चौ. सें.मी. आहे. तर लांबी 1.6 सें,मी असेल तर रुंदी किती ?0.0018 यैं.मी.0.018 सें.मी.०.013 सें.मी.0.0013 सें.मी.",,"श्‌ 13 नि. ०): गी) 13 9) 17 ) 9 ) 7 [१ एका आयताचे क्षेत्रफळ 0.0288 चौ. सें.मी. आहे. तर लांबी 1.6 सें,मी असेल तर रुंदी किती ? &) 0.0018 यैं.मी. 8) 0.018 सें.मी. €) ०.013 सें.मी. 0) 0.0013 सें.मी."
