question_marathi,option_a,option_b,option_c,option_d,subject,exam_type
"1331 , 2197 , 3375, 4913, ?",4*.)6639,6539,6859,6759,gk,police_bharti
"तीन संख्याची सरासरी 30 आहे त्यांपैकी दुसरी संख्या पहिलीपेक्षा 3 ने जास्त परंतु, तिसरी पेक्षा 6 ने लहान",आहे तर दुसरी संख्या कोणती ?,25,28,2२729,math,police_bharti
"एटठारा)1ः : नी, तर 1५11२0101८: हा शब्द कमा लिहाल ?",(२,ए८०भा09राः,प८०नाप्शार,एटा,marathi,police_bharti
16 जुन 1674 रोजी कोणत्या गडावर शिवरायांचा राज्याभिषेक संपन्न झाला?,राजगड,शिवनेरी,प्रतापगड,रायगड,gk,police_bharti
साबरमतो छ) गंगा 0) यमुना 0७) नर्मदा,इंडीयन सायन्स काँग्रेसचे 108 वे संमेलय कोठे आयोजीत करण्यात आले होते १ 40 मंबई,नागपुर,औरंगाबाद,पुणे 4|9०६९,gk,police_bharti
30 दिवसांच्या एका पहिन्यात पाच शनिवार आहेत. त्या महिन्याचा प्रथम दिवस कोणता असेल ?,रविवार,सोमवार,बुघचार,शुक्रवार,math,police_bharti
"एका सांकेतिक भाषेत गाजर हा शब्द ५591, सुगावा हा शब्द 441, आणि चानर हा शब्द १48 असा लिहिल्यास",सुरज हा शब्द कसा लिहिला जाईल? टं ग,147,4६7.,"798791 ठा । । ""ज्ञान ५ कीं भे रः म 1. नि प",marathi,police_bharti
"एका छायाचित्राकडे पाहत एक माणुस म्हणाला, ""त्या माणसाचा वाप, माझ्या बापाचा मुलगा आहे. सला भाऊ","आणि बहिण नाहीत."" छायाचित्रातील व्यक्तीचे त्या माणसाशी भाते काय ?",मूलगा,मुलगी,भाऊकाका,reasoning,police_bharti
"2, 9, 25, ?, 126, 217, 344 दिलेल्या मालिकेतील प्रश्‍नचिन्हाऐवजी ठेवण्यासाठी सर्वात उचित तर्कसंगत",पर्याय निवडा.,50,65,7082,reasoning,police_bharti
30 दिवसांच्या एका महिन्यात पाच शनिवार आहेत. न्या महिन्याचा प्रथम दिदस कोणता अभ्रेल ?,रविवार,सोमवार,बुधवार,शुक्रयार,math,police_bharti
"तीन मित्र अ,ब ,क एका वर्तुळाकृती भैदानाभोवती धावुन एक फेरा अनुक्रमे 12 ,18,व 20 सेकंदात पुर्ण",करतात तर किती पिनियनंतर ते तिघे प्रारंभ विंदुत भेटतील ?,5मि,8 मि,12 मि3 मि,math,police_bharti
नऊ क्रमवार विषम संख्याची सरासरी 103 आहे तर न्यातील सर्वात मोठया दोन संख्यांची ररासरी काय,असेल?,109,111,110)107,math,police_bharti
"274 , 39 सट ,...?",ह. 2४%,2४/८,४9,४८०,gk,police_bharti
फर्निचरच्या तोन वस्तुची सरासरी किंपत रु 15000 आहे. जर त्या चस्तुंच्या किमतीचे गुणोत्तर 3:5:7 असे,"असल ,तर सर्वांत स्वस्त वस्तुची किंमत किती ?",रु 3000,रु 6000,रु 1२000,math,police_bharti
"एका त्रिकोणाचा पाया 30 सेंमी असुन क्षेत्रफळ 630 चौ.से.मी आहे, तर त्या त्रिकोणाची उंची....सॅमी आहे?",३ २।,63,42,"१4 (डन 54 -[82 -(73 -(15 -2£))] * 37 ,तर 2 बरोबर किती ?1717 0 नं-17 झाला ?8 33 %7.69 ५6.67 %7.14 %",math,police_bharti
'चनादेश' हा शब्द कोणत्या संघीचे उदाहरण आहे ?,स्वरसंधी,विसर्गसंधी,व्यंजनसंधी,हलसंघी,marathi,police_bharti
अधोरेखित शब्दाची विभक्ती ओळखा- 'हे माझे पुस्तक आहे.',सप्तमी,प्रथमा,संबोधन,षष्टी,marathi,police_bharti
“सुतोवाच करणे” या वाक्प्रचाराचा योग्य अर्थ ओळखा.,0 पर्वी करणे,संपविणे,प्रारंभ करणे,दोर्ष देणे,marathi,police_bharti
खालीलपैकी देशी शब्द ओळखा.,अर्ज,खाना,बटाटा,घोडी,marathi,police_bharti
"पुढील वाक्याचा प्रकार ओळखा... ""गुरुजी म्हणाले, की प्रत्येकाने नियपितिपणे शाळेत यावे.'",केवलवाक्‍्य,मिश्रवाक्य,संयुक्‍्तवावर्य,यापैकी नाही,marathi,police_bharti
पुढील॑ वाक्यातील प्रयीग ओळखा. ' शिपायाकडून चोर पकडला गेला.,कर्म कर्तरी,समापन कर्मणी,भावे प्रथीग,शब्द कर्मणी,marathi,police_bharti
“लहानपण दे गा देवा ! मुंगी साखरेचा रवा,ऐरावत रत्न थोर| त्यासी अंकुशाचा मार | * या पर्य पंक्तितील अलंकार ओळखा.,उपमा,दृष्टांत,उत्प्रेक्षाअतिशयोक्ती,marathi,police_bharti
"खालीलपैकी योग्य पर्याय निवडा:. किंवा, 'अथव', 'वा', 'की' ही ----------*-- उभयान्वयी अव्यये आहेत.",समुच्ययबोधक,परिणामबोधक,विकल्पबोधक,न्यूनत्ववोधर्क,marathi,police_bharti
2007 सालची दिनर्दाशिका पर्याषातून निर्देशित केलेल्या पेकी सालाप्रमाधे 0) 9,"निवडा, पैको ज्या सालाप्रमाणे अत्ेल ते दाखवणारा पर्याय",2017,२016,२015 कः,math,police_bharti
पुढील संख्यामालेत्त 2८ च्य जागी कोणती,"3, 7, 15, अ, अ, 127, 255, 511",59,60 संख्या असेल? -,62 या63 617० प्र,math,police_bharti
खालच्या व वरच्या ओठाचा उपयोग करून जे वर्ण आपण उच्चारतो त्यांना ................ वर्ण म्हणतात.,_अ> ओऔओष्ठय,दंत्य,मूर्यन्य,तारण्य,marathi,police_bharti
"यशोधन, तपोबल, मनोरंजन, नभोमंडल ही कोणत्या संधीची उदाहरणे आहेत.",गुणादेश,विरार्ग लोप संधी,- विरार्ग उकार संधी,यणादेश“आनंद कामावर रूजू झाला * वाक्यातील अथोरेखीत शब्दाचा नामावा प्रकार ओळखा.,marathi,police_bharti
"चिल्ली पिल्ली, सार, मठठा * हे शब्द कोणत्या भाषेतील आहेत.",तेलुगु,गुजराती,तमिळी ड,कानडी,marathi,police_bharti
महाराष्ट्रात इंग्रजाविरूदध सशस्त्र लढा सर्वप्रथम कोणत्या कांतीवीराने दिला ?,वासुदेव बळवंत फडके,बाफंकर बंधु,"वि.दा,सावरकर ड",चंद्रशेखर आझाद,gk,police_bharti
महाराष्ट्रामध्ये अकोला जिल्हामध्ये एकुण किती विधानसभा सदस्य आहेत?,सहा नहर पाच,सात,आढ छो महाराष्ट्र विधीमंडळाची. वर्षातून कमीत कमी किती अधिवेशने होतात ? 39 दोन,तीनचारएक,gk,police_bharti
एका दुध संकलन केंद्रावर ८०५ लिटर गाईचे दुध व ९१५ लिटर म्हशीचे दुध संकलन केले. त्यापैकी,१५७५ लिटर दुधाची विक्री केली तर किती लिटर दुध शिल्लक राहील ?,५७५५ चब १४५ _ ६,२१७,४४५ न र सिन,math,police_bharti
पाच अंकी मोठयात मोठी सम व चार अंकी लहानात लहान विषम संख्यातील फरकातील सर्व,अंकांची बेरीज पुढीलपैकी कोणती ? 5559 पै 152,४४,छ्रे 7ळु्टडडच 4 जू ग्र कोट ४र,४१,math,police_bharti
